"StediId","PrimaryPayerId","DisplayName","Names","Aliases","EligibilityInquiry","EligibilityInquiryEnrollmentRequired","EligibilityInquiryEnrollmentType","EligibilityInquiryEnrollmentTimeframe","ClaimStatusInquiry","ClaimStatusInquiryEnrollmentRequired","ClaimStatusInquiryEnrollmentType","ClaimStatusInquiryEnrollmentTimeframe","ProfessionalClaim","ProfessionalClaimEnrollmentRequired","ProfessionalClaimEnrollmentType","ProfessionalClaimEnrollmentTimeframe","InstitutionalClaim","InstitutionalClaimEnrollmentRequired","InstitutionalClaimEnrollmentType","InstitutionalClaimEnrollmentTimeframe","DentalClaim","DentalClaimEnrollmentRequired","DentalClaimEnrollmentType","DentalClaimEnrollmentTimeframe","ClaimPaymentAdvice","ClaimPaymentAdviceEnrollmentRequired","ClaimPaymentEnrollmentType","ClaimPaymentEnrollmentTimeframe","CoordinationOfBenefits","CoordinationOfBenefitsEnrollmentRequired","CoordinationOfBenefitsEnrollmentType","CoordinationOfBenefitsEnrollmentTimeframe","ClaimAttachmentsSupport","ClaimAttachmentsSupportEnrollmentRequired","ClaimAttachmentEnrollmentType","ClaimAttachmentEnrollmentTimeframe","EmployerIdentificationNumbers","CoverageTypes","OperatingStates","PtanRequired","ParentPayerGroupId","WebsiteUrl"
"TLBZY","MIMCDCS1","CareSource of Michigan Medicaid","CareSource Michigan Marketplace","1772|2525|2891|8095|MICS1|MIMCDCS1|MIMD1","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","dental|medical","","false","",""
"TLJRV","KYMEDICAID","Medicaid Kentucky","Kentucky Medicaid","10117|1493|AIDKY|CKKY1|KYCAID|KYMCD|KYMEDICAID|SKKY0","true","false","","","true","false","","","true","true","","","true","true","","","false","false","","","true","true","","","false","false","","","false","false","","","","dental|medical","KY","false","","https://www.chfs.ky.gov"
"TLNQM","J1512","Sutter Health","","J1512","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TLPQC","J1376","ResCare Incorporated","","J1376","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TLPTW","CX098","Administrative District Council 1 Welfare fund","","CX098","false","false","","","false","false","","","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","","dental","","false","",""
"TLQDY","NMM10","Central CA Phys Partners Astrana","","NMM10","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","","","false","",""
"TLTBQ","SX107","Select Health","Select Health Inc.|Select Health Utah|Select Health of Utah","10520|10575|12X37|1532|4480|CX107|SELHT|SX107|TPC17|UH107|UTSLHT|Z0001|Z0001MA","true","false","","","true","false","","","true","false","","","true","false","","","true","false","","","true","true","","","true","false","","","false","false","","","","dental|medical","ID|NV|UT","false","FKWCK","https://selecthealth.org"
"TMTSA","16063","Unitrin Direct Property and Casualty Company","","16063","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TMWMR","07201","Medicare Louisiana Part A","Novitas - Louisiana","07201|IMLA0","true","true","ONE_CLICK","HOURS","false","false","","","false","false","","","true","true","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"TMYJD","J1264","Church Mutual Insurance Company (Auto Only)","","J1264","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TNXLZ","10911","Consumer's Life","","10911","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"TOQKP","J1240","Acuity Mutual Insurance Company","","J1240","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"TOUWQ","20356","The Health Exchange Cerner Corporation","","20356|2408|HLTHEX","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","","","false","",""
"TOVPZ","TU127","CCA Health of California Fee-for-Service","CCA Health Plans of California|CCA Health of California Fee-For-Service|Commonwealth Care Alliance","8264|TU127","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TPDAP","SMMD0","Medicare Maryland Part B","Novitas - Maryland","12302|7402|SMMD0","true","true","ONE_CLICK","HOURS","false","false","","","true","true","","","false","false","","","false","false","","","true","true","MULTI_STEP","WEEKS","false","false","","","false","false","","","","medical","","false","",""
"TPEAX","J1076","Jones Truck Lines Incorporated","","J1076","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TPRLC","CREA8","Create Health Plans","CREATE","CREA8","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"TPTWE","04412","Medicare Texas Part B","Novitas - Texas","04412|1440|SMTX0|TXMCR","true","true","ONE_CLICK","HOURS","false","false","","","true","true","","","false","false","","","false","false","","","true","true","MULTI_STEP","WEEKS","false","false","","","false","false","","","","dental|medical","","false","",""
"TPXAD","YAMHL","Yamhill CCO","YCCO|Yamhill Community Care Organization|Yamhill Coordinated Care Organization","YAMHL","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","medical","OR","false","","https://yamhillcco.org"
"TQCNP","65465","MoreCare","","65465|8290|MORECA","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","","","false","",""
"TQHSI","J1021","National Loss Prevention Incorporated","","J1021","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TQJEQ","75537","UCS Benovation","UCS Beneficial Innovation","75537","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TQJKQ","50114","Sana Benefits","Sana Benefits, Inc.","00167|14409|2025|50114|8161|SANAB","true","false","","","true","false","","","true","false","","","true","false","","","true","false","","","true","true","ONE_CLICK","DAYS","false","false","","","false","false","","","","dental|medical","","false","","https://www.sanabenefits.com"
"TQKXV","R3469","PACE at Hudson Headwaters","","R3469","false","false","","","false","false","","","true","false","","","true","false","","","true","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","dental|medical","","false","",""
"TQMVS","66043","Delta Dental of Puerto Rico","","66043|680652604","true","false","","","false","false","","","false","false","","","false","false","","","true","false","","","true","true","","","false","false","","","false","false","","","","dental","","false","",""
"TQPKO","SFHP1","San Francisco Health Plan","","02735|10849|6633|6736|SFHP1","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","94-3226498","medical","CA","false","","https://www.sfhp.org"
"TQPZH","CB776","Arizona School Alliance","","CB776|J4395A|J4395W","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","","","false","",""
"TQTWZ","11098","District No. 9 of International Association of Machinists and Aerospace Workers Welfare Trust","","11098|MWELT","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"TQYWD","EC999","Exclusive Care - County of Riverside","","1113|EC999","false","false","","","false","false","","","true","true","","","true","true","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TRCHT","77684","Las Vegas Firefighters Health and Welfare Trust","","77684|9164","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TREYM","13550","Alicare","Amalgamated Life|Chesapeake and Ohio Employees Hospital Association","13550|4591|5403","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","medical","","false","",""
"TRGQL","77002","AmeriHealth Caritas District of Columbia","AmeriHealth Caritas DC","11193|46148|5670|6441|77002|AHCDC|DCCHH","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","true","false","","","","medical","","false","","https://www.amerihealthcaritasdc.com"
"TRQGK","FBM01","Florida Blue Medicare","Medicare Florida Blue","5081|9128|FBM01","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","INSTANT","false","false","","","false","false","","","59-2015694","dental|medical","FL","false","","https://www.floridablue.com"
"TSLSA","NALC","National Association of Letter Carriers (NALC)","National Association of Letter Carriers Health Benefit Plan","10149|NALC","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","dental|medical","","false","","https://nalchbp.org"
"TSMHS","99915","Vxtra Health Plan Inc.","","1885|3958|99915","false","false","","","false","false","","","true","false","","","true","false","","","true","false","","","true","true","","","false","false","","","false","false","","","","dental|medical","","false","",""
"TUCJC","94269","Sutter East Bay Medical Foundation","","1698|4274|4705|94269|IP130","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
